,id,title,link,description,box_price_present,box_price_old,box_price_percent,rating,cmt_count
151,302520,Laptop Lenovo Yoga Duet 7 13ITL6 i7 1165G7/16GB/1TB/Touch/Pen/Win11 (82MA009PVN),https://www.thegioididong.com/laptop/lenovo-yoga-duet-7-13itl6-i7-82ma009pvn,"Laptop Lenovo Yoga Duet 7 13ITL6 i7 (82MA009PVN) độc đáo với thiết kế linh hoạt, cho phép bạn sử dụng máy như một chiếc laptop làm việc đầy năng suất hay một chiếc tablet giúp thỏa mãn mọi nhu cầu giải trí.",36.490.000₫ ,,,4.5,2.0
152,305666,Laptop Asus Gaming ROG Strix G16 G614JU i5 13450HX/8GB/512GB/6GB RTX4050/165Hz/Win11 (N3135W),https://www.thegioididong.com/laptop/asus-gaming-rog-strix-g16-g614ju-i5-n3135w,"Laptop Asus Gaming ROG Strix G16 G614JU i5 13450HX (N3135W) được trang bị bộ bộ vi xử lý Intel thế hệ 13 mới nhất, RAM DDR5 tân tiến và card đồ họa NVIDIA RTX 400 series mạnh mẽ, có thể vận hành hoàn hảo các tựa game nặng và ứng dụng đòi hỏi nhiều tài nguyên hệ thống.",36.190.000₫ *,39.990.000₫,-9%,,
153,310447,Laptop MSI Gaming Katana 15 B13VFK i7 13620H/16GB/1TB/8GB RTX4060/144Hz/Balo/Win11 (676VN),https://www.thegioididong.com/laptop/msi-katana-15-b13vfk-i7-676vn,"Laptop MSI Gaming Katana 15 B13VFK i7 13620H (676VN) đến từ nhà MSI đã có mặt tại Thế Giới Di Động. Với chip Intel Gen 13 dòng H mới nhất và card RTX 40 series mạnh mẽ, đây là một siêu phẩm laptop gaming sẽ thỏa mãn mọi nhu cầu của cộng đồng game thủ.",33.890.000₫ *,36.990.000₫,-8%,,
154,306792,Laptop LG gram 2023 i5 1340P/16GB/256GB/Win11 (14Z90R-G.AH53A5),https://www.thegioididong.com/laptop/lg-gram-2023-i5-14z90rgah53a5,"Laptop LG gram 2023 i5 1340P (14Z90R-G.AH53A5) được trang bị các tính năng vượt trội, sở hữu ngoại hình sang trọng, nịnh mắt. Chiếc laptop cao cấp này chắc chắn sẽ đem lại cho người dùng trải nghiệm tốt nhất khi sử dụng.",32.490.000₫ ,,,,
155,299061,Laptop Asus Gaming TUF Dash F15 FX517ZR i7 12650H/8GB/512GB/8GB RTX3070/144Hz/Win11 (HN086W),https://www.thegioididong.com/laptop/asus-tuf-gaming-fx517z-i7-hn086w,"Laptop Asus Gaming TUF Dash F15 FX517ZR i7 (HN086W) hứa hẹn sẽ mang đến cho game thủ trải nghiệm không thể tuyệt vời hơn nhờ sở hữu bộ vi xử lý Intel Core i7 thế hệ thứ 12 hiệu suất cao, card đồ hoạ rời NVIDIA mạnh mẽ và màn hình 144 Hz hoàn hảo để tỏa sáng trong mọi chiến trường ảo.",31.990.000₫ *,35.990.000₫,-11%,5,2.0
156,310452,Laptop MSI Prestige 13 Evo A13M i7 1360P/16GB/1TB/Balo/Win11 (081VN),https://www.thegioididong.com/laptop/msi-prestige-13-evo-a13m-i7-081vn,"Với sự hoàn thiện đẹp mắt, cấu trúc thiết kế gọn nhẹ, linh hoạt cùng hiệu năng mạnh mẽ đáp ứng đa tác vụ, laptop MSI Prestige 13 Evo A13M i7 1360P (081VN) chắc chắn sẽ là người trợ thủ đắc lực đem lại sự chuyên nghiệp và tính hiệu quả cao trong công việc cho người dùng.",31.490.000₫ *,33.990.000₫,-7%,,
157,293982,Laptop Asus TUF Gaming F15 FX507ZM i7 12700H/16GB/512GB/6GB RTX3060/144Hz/Win11 (HN123W),https://www.thegioididong.com/laptop/asus-tuf-gaming-fx507z-i7-hn123w,"Laptop Asus TUF Gaming F15 FX507Z i7 12700H (HN123W) được trang bị bộ vi xử lý Intel Core i7 H-series hiệu năng cao, card đồ họa chuyên dụng NVIDIA GeForce RTX 3060 và màn hình tần số quét 144 Hz giúp các cao thủ chiến game đầy tự tin, đắm chìm trong những đấu trường ảo đỉnh cao.",30.990.000₫ *,32.990.000₫,-6%,5,4.0
158,302228,Laptop Lenovo Yoga Slim 7 Pro 14IAH7 i7 12700H/16GB/512GB/Win11 (82UT006CVN),https://www.thegioididong.com/laptop/lenovo-yoga-slim-7-pro-14iah7-i7-82ut006cvn,"Sở hữu lối thiết kế thanh lịch, mỏng nhẹ đến không tưởng cùng sức mạnh hiệu năng vượt trội và màn hình OLED sắc nét, tất cả đã khiến cho laptop Lenovo Yoga Slim 7 Pro 14IAH7 i7 (82UT006CVN) trở thành ""hoa khôi"" trong phân khúc laptop học tập - văn phòng.",30.990.000₫ ,,,3.8,4.0
159,288373,Laptop Lenovo Yoga Slim 7 Carbon 13ITL5 i7 1165G7/16GB/1TB/Win11 (82EV00AWVN),https://www.thegioididong.com/laptop/lenovo-yoga-slim-7-carbon-13itl5-i7-82ev00awvn,"Laptop Lenovo Yoga Slim 7 Carbon 13ITL5 i7 1165G7 (82EV00AWVN) là phiên bản laptop mỏng nhẹ sở hữu phong cách thiết kế tối giản, hiện đại với khối lượng chỉ vỏn vẹn 0.966 kg đi cùng cấu hình ổn định, đáp ứng đầy đủ mọi nhu cầu học tập và văn phòng của người dùng.",29.740.000₫ *,34.990.000₫,-15%,4.5,10.0
160,309410,Laptop Asus Zenbook 14 OLED UX3402VA i7 1360P/16GB/512GB/Cáp/Túi/Win11 (KM068W),https://www.thegioididong.com/laptop/asus-zenbook-14-oled-ux3402va-i7-km068w,"Laptop Asus Zenbook 14 OLED UX3402VA i7 1360P (KM068W) là một chiếc laptop đáng cân nhắc với hiệu năng từ Core i7 mạnh mẽ và thiết kế sang trọng cùng đa dạng công nghệ màn hình hiện đại, sản phẩm thuộc phân khúc laptop cao cấp này chắc chắn mang lại sự thỏa mãn cho người dùng.",29.490.000₫ *,31.990.000₫,-7%,,
