,id,title,link,description,box_price_present,box_price_old,rating,cmt_count,category,discount
0,303579.0,Điện thoại Samsung Galaxy A14 4GB,https://www.thegioididong.com/dtdd/samsung-galaxy-a14-4gb,"Samsung Galaxy A14 4GB là chiếc điện thoại mới thuộc dòng A, được ra mắt tại thị trường Việt Nam vào tháng 03/2023 và được định hình là mẫu điện thoại thuộc phân khúc giá rẻ. Với mức giá phù hợp, máy là sự lựa chọn tuyệt vời cho học sinh và sinh viên khi được trang bị vi xử lý Exynos 850 và màn hình Full HD+ chất lượng cao.",3890000,4490000,4.2,219,Điện thoại,13
1,292770.0,Điện thoại Samsung Galaxy A14 6GB,https://www.thegioididong.com/dtdd/samsung-galaxy-a14,"Samsung tiếp tục chứng tỏ sự nỗ lực của mình trong việc cải thiện dòng sản phẩm phân khúc cấp thấp trong năm 2023 bằng việc ra mắt mẫu smartphone Samsung Galaxy A14 4G. Với thiết kế độc đáo và hiện đại, sản phẩm này đáp ứng đầy đủ tiêu chí ""ngon - bổ - rẻ"" với cấu hình ổn định và giá cả cực kỳ hợp lý.",4790000,4990000,4.2,285,Điện thoại,4
2,299034.0,Điện thoại OPPO Find N2 Flip 5G,https://www.thegioididong.com/dtdd/oppo-find-n2-flip,"OPPO Find N2 Flip 5G - chiếc điện thoại gập đầu tiên của OPPO đã được giới thiệu chính thức tại Việt Nam vào tháng 03/2023. Sở hữu cấu hình mạnh mẽ cùng thiết kế siêu nhỏ gọn giúp tối ưu kích thước, chiếc điện thoại sẽ cùng bạn nổi bật trong mọi không gian với vẻ ngoài đầy cá tính.",19990000,19990000,4.5,37,Điện thoại,0
3,251192.0,Điện thoại iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max,"iPhone 14 Pro Max một siêu phẩm trong giới smartphone được nhà Táo tung ra thị trường vào tháng 09/2022. Máy trang bị con chip Apple A16 Bionic vô cùng mạnh mẽ, đi kèm theo đó là thiết kế hình màn hình mới, hứa hẹn mang lại những trải nghiệm đầy mới mẻ cho người dùng iPhone.",26590000,29990000,4.5,331,Điện thoại,11
4,289700.0,Điện thoại iPhone 14 Pro Max 256GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max-256gb,"Mới đây thì chiếc điện thoại iPhone 14 Pro Max 256GB cũng đã được chính thức lộ diện trên toàn cầu và đập tan bao lời đồn đoán bấy lâu nay, bên trong máy sẽ được trang bị con chip hiệu năng khủng cùng sự nâng cấp về camera đến từ nhà Apple.",29590000,32990000,4.5,192,Điện thoại,10
5,289702.0,Điện thoại iPhone 14 Pro Max 512GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max-512gb,"Sau bao nhiêu ngày chờ đợi thì Apple đã chính thức tung ra mẫu điện thoại iPhone 14 Pro Max 512GB khi sở hữu một con chip với hiệu năng mạnh mẽ, màn hình đẹp mắt và cụm camera vô cùng chất lượng.",35990000,37990000,4.5,56,Điện thoại,5
6,289705.0,Điện thoại iPhone 14 Pro Max 1TB,https://www.thegioididong.com/dtdd/iphone-14-pro-max-1tb,"iPhone 14 Pro Max 1TB là phiên bản điện thoại cao cấp nhất mà Apple đã cho ra mắt tại sự kiện giới thiệu sản phẩm mới cho năm 2022. Được thừa hưởng mọi công nghệ hàng đầu thế giới nên máy hứa hẹn sẽ mang lại trải nghiệm sử dụng tốt nhất từ chơi game cho tới chụp ảnh, xứng đáng là chiếc điện thoại đáng mua nhất trên thị trường hiện tại.",41990000,43990000,4.2,37,Điện thoại,4
7,247508.0,Điện thoại iPhone 14 Pro 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro,"iPhone 14 Pro 128GB - Mẫu smartphone đến từ nhà Apple được mong đợi nhất năm 2022, lần này nhà Táo mang đến cho chúng ta một phiên bản với kiểu thiết kế hình notch mới, cấu hình mạnh mẽ nhờ con chip Apple A16 Bionic và cụm camera có độ phân giải được nâng cấp lên đến 48 MP.",24590000,27990000,4.6,161,Điện thoại,12
8,289691.0,Điện thoại iPhone 14 Pro 256GB,https://www.thegioididong.com/dtdd/iphone-14-pro-256gb,"Apple trong sự kiện ngày 8/9 đã giới thiệu đến người dùng mẫu iPhone 14 Pro 256GB mang những cải tiến về mặt thiết kế cũng như cấu hình phần cứng, hứa hẹn một sản phẩm mạnh mẽ đáp ứng mọi nhu cầu của bạn.",27190000,29990000,4.5,87,Điện thoại,9
9,289694.0,Điện thoại iPhone 14 Pro 512GB,https://www.thegioididong.com/dtdd/iphone-14-pro-512gb,"Apple luôn mang đến những cải tiến trên các mẫu iPhone qua từng năm, iPhone 14 Pro 512GB năm nay được nâng cấp mạnh về hiệu năng cũng như thiết kế, một sản phẩm hứa hẹn sẽ cho người dùng những trải nghiệm trọn vẹn nhất đối với thế hệ iPhone 14 năm nay.",33490000,35990000,4.8,14,Điện thoại,6
10,274018.0,Điện thoại Samsung Galaxy A24 6GB,https://www.thegioididong.com/dtdd/samsung-galaxy-a24,"Samsung Galaxy A24 6GB tiếp tục là mẫu điện thoại tầm trung được nhà Samsung giới thiệu đến thị trường Việt Nam vào tháng 04/2023, máy nổi bật với giá thành rẻ, màn hình Super AMOLED cùng camera 50 MP chụp ảnh sắc nét.",6490000,6490000,4.2,23,Điện thoại,0
11,305886.0,Điện thoại Samsung Galaxy A24 8GB,https://www.thegioididong.com/dtdd/samsung-galaxy-a24-8gb,"Mẫu điện thoại tầm trung được hãng điện thoại Samsung vừa tung ra thị trường (04/2023) với tên gọi Samsung Galaxy A24 8GB. Máy sở hữu tấm nền Super AMOLED 6.5 inch, hiệu năng mượt mà với hầu hết mọi tác vụ và hệ thống camera chụp ảnh sắc nét.",6990000,6990000,4.1,32,Điện thoại,0
12,311120.0,Điện thoại vivo Y36 128GB,https://www.thegioididong.com/dtdd/vivo-y36-128gb,"vivo Y36 128GB là một trong những sản phẩm điện thoại thông minh nổi bật và đáng chú ý của thương hiệu vivo. Với những tính năng và thông số kỹ thuật vượt trội, vivo Y36 hứa hẹn mang đến cho người dùng trải nghiệm di động đỉnh cao.",6290000,6290000,0.0,0,Điện thoại,0
13,307203.0,Điện thoại vivo Y36 256GB,https://www.thegioididong.com/dtdd/vivo-y36,"vivo Y36 chiếc điện thoại Vivo Y mới nhất được nhà Vivo tung ra thị trường Việt Nam vào tháng 06/2023. Máy sở hữu vẻ ngoài hiện đại trẻ trung, màn hình hiển thị sắc nét cùng một hiệu năng ổn định với các tác vụ hằng ngày.",6990000,6990000,4.4,141,Điện thoại,0
